artist_name,track_name,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
22382,22382,2012,0,0.499,0.614,7,-8.175,1,0.0621,0.151,3.52e-06,0.0555,0.605,89.038,276973,4
46111,46111,2012,0,0.713,0.824,3,-7.168,1,0.0393,0.106,8.03e-05,0.13,0.696,120.028,207240,4
47504,47504,2012,0,0.275,0.216,2,-14.504,1,0.0493,0.896,0.0,0.231,0.0551,95.421,324333,5
22382,22382,2012,0,0.512,0.375,11,-9.525,0,0.0652,0.527,0.0,0.109,0.445,183.452,166467,3
25656,25656,2012,0,0.609,0.359,5,-6.715,1,0.0468,0.777,0.0,0.221,0.645,145.178,127080,4
36097,36097,2012,0,0.638,0.538,2,-6.667,1,0.034,0.516,0.0,0.0797,0.843,98.591,186640,4
22382,22382,2012,0,0.479,0.519,9,-8.022,0,0.0459,0.263,1.84e-06,0.112,0.357,146.819,220160,4
7451,7451,2012,0,0.531,0.296,1,-7.594,1,0.0304,0.84,0.0,0.124,0.212,106.359,239573,4
17302,17302,2012,0,0.588,0.71,8,-5.974,1,0.0382,0.043,5.28e-06,0.114,0.63,91.036,211027,4
25656,25656,2012,0,0.757,0.308,11,-13.66,0,0.0449,0.851,0.0,0.097,0.47,107.948,205000,4
47504,47504,2012,0,0.262,0.341,2,-8.496,1,0.031,0.589,0.00154,0.14,0.181,99.913,262613,3
22382,22382,2012,0,0.461,0.879,4,-7.341,0,0.0946,0.171,5.16e-05,0.414,0.656,172.178,233373,4
46262,46262,2012,0,0.486,0.555,2,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,77.987,317441,4
22382,22382,2012,0,0.49,0.662,2,-7.63,0,0.0555,0.108,1.45e-05,0.167,0.662,124.229,186640,4
22382,22382,2012,0,0.526,0.527,2,-8.403,1,0.0674,0.434,3.5e-06,0.262,0.666,88.263,82680,4
27136,27136,2012,0,0.594,0.251,4,-9.036,1,0.0295,0.63,2.8e-06,0.112,0.0502,98.819,270841,4
17302,17302,2012,0,0.598,0.703,0,-7.313,1,0.03,0.104,0.000118,0.141,0.604,77.998,245880,4
7451,7451,2012,0,0.654,0.319,2,-8.43,1,0.0322,0.844,0.0,0.0854,0.484,115.578,242107,4
650,650,2012,0,0.53,0.249,2,-18.414,1,0.131,0.688,0.0,0.188,0.22,87.265,82027,4
7451,7451,2012,0,0.421,0.441,3,-8.012,1,0.0271,0.413,8.35e-06,0.118,0.0992,138.07,294737,4
47504,47504,2012,0,0.343,0.184,5,-12.633,1,0.0369,0.977,0.00049,0.0923,0.213,66.509,356093,4
25656,25656,2012,0,0.508,0.563,9,-8.238,1,0.0605,0.511,0.0,0.143,0.432,167.42,285547,4
7451,7451,2012,0,0.509,0.34,6,-8.972,1,0.0335,0.755,1.52e-05,0.101,0.131,130.257,265200,4
36097,36097,2012,0,0.646,0.818,1,-6.469,0,0.0314,0.0348,0.00012,0.0919,0.713,121.931,248373,4
40026,40026,2012,0,0.775,0.523,0,-7.462,1,0.0381,0.571,0.0,0.352,0.487,81.037,142240,4
7451,7451,2012,0,0.458,0.275,5,-8.241,1,0.0365,0.827,0.0,0.174,0.2,114.158,208893,4
476,476,2012,0,0.559,0.781,1,-6.805,1,0.0332,0.00124,0.0353,0.101,0.227,114.962,286429,4
25656,25656,2012,0,0.573,0.747,10,-7.011,1,0.0316,0.164,0.0,0.144,0.464,119.012,239156,4
20678,20678,2012,0,0.608,0.917,11,-5.341,1,0.0601,0.236,0.0,0.13,0.936,117.875,169267,4
22382,22382,2012,0,0.336,0.362,7,-10.046,1,0.0336,0.434,0.000143,0.122,0.455,175.228,278707,3
47504,47504,2012,0,0.431,0.352,8,-9.335,1,0.0275,0.742,0.0,0.148,0.246,94.915,277547,3
9441,9441,2012,0,0.488,0.813,0,-7.12,1,0.286,0.699,0.0,0.273,0.583,162.285,208666,4
52402,52402,2012,0,0.581,0.55,1,-11.719,1,0.0394,0.878,0.742,0.112,0.66,126.128,565787,4
13370,13370,2012,0,0.617,0.131,11,-12.775,1,0.0331,0.903,0.000536,0.105,0.394,129.31,197253,4
24039,24039,2012,0,0.474,0.0374,5,-20.324,1,0.0479,0.993,0.021,0.102,0.224,135.099,179787,5
24039,24039,2012,0,0.404,0.0427,3,-19.076,1,0.0397,0.99,0.224,0.0852,0.181,74.137,192147,4
2663,2663,2012,0,0.498,0.17,10,-11.818,1,0.0341,0.889,0.000561,0.0998,0.165,131.976,201360,4
25656,25656,2012,0,0.661,0.693,6,-7.562,0,0.0578,0.0872,0.0,0.086,0.848,94.045,239987,4
51044,51044,2012,0,0.518,0.269,7,-11.957,1,0.0498,0.93,0.857,0.115,0.356,116.262,134120,4
30075,30075,2012,0,0.732,0.712,0,-5.672,1,0.0252,0.17,0.0,0.0809,0.772,101.005,194147,4
51044,51044,2012,0,0.341,0.171,1,-15.618,1,0.0485,0.905,0.909,0.126,0.42,89.618,160040,3
7451,7451,2012,0,0.722,0.542,6,-8.703,0,0.0371,0.135,0.0,0.168,0.444,125.998,195933,4
7451,7451,2012,0,0.587,0.209,9,-10.426,1,0.0304,0.759,0.0,0.113,0.247,105.669,194093,4
17302,17302,2012,0,0.544,0.921,7,-3.93,1,0.0505,0.00348,0.0,0.215,0.65,165.949,214880,4
57443,57443,2012,0,0.69,0.803,0,-6.827,0,0.0242,0.00873,0.354,0.136,0.712,96.042,218587,4
3274,3274,2012,0,0.27,0.0758,0,-14.469,1,0.0384,0.961,3.55e-05,0.136,0.354,76.388,310640,4
47504,47504,2012,0,0.708,0.125,7,-12.539,0,0.105,0.961,0.0,0.106,0.383,124.948,242907,4
22382,22382,2012,0,0.554,0.765,2,-8.252,0,0.0363,0.21,0.000114,0.104,0.767,92.43,205493,4
53608,53608,2012,0,0.492,0.145,2,-14.504,0,0.0421,0.872,9.7e-06,0.106,0.218,90.078,154440,4
7451,7451,2012,0,0.665,0.559,9,-6.78,0,0.0286,0.684,0.0,0.0843,0.476,143.822,220000,4
57443,57443,2012,0,0.448,0.455,1,-10.041,1,0.0379,0.318,0.0141,0.0969,0.495,82.726,191720,4
24432,24432,2012,0,0.519,0.484,2,-5.808,1,0.0249,0.357,0.0,0.145,0.291,88.03,241640,4
25656,25656,2012,0,0.558,0.646,11,-9.822,0,0.071,0.632,0.0,0.972,0.7,124.911,305330,4
2934,2934,2012,0,0.721,0.571,1,-5.857,1,0.0282,0.0478,0.17,0.0808,0.574,119.993,282742,4
24039,24039,2012,0,0.511,0.153,10,-18.468,0,0.0651,0.989,0.244,0.0918,0.0568,113.496,437733,3
51044,51044,2012,0,0.469,0.241,8,-11.934,1,0.0443,0.846,0.976,0.113,0.598,111.097,142253,4
7451,7451,2012,0,0.729,0.408,11,-10.078,0,0.0323,0.345,0.0,0.0957,0.263,120.02,238200,4
51044,51044,2012,0,0.487,0.17,2,-14.93,1,0.047,0.87,0.58,0.15,0.225,97.965,203853,4
24432,24432,2012,0,0.666,0.114,4,-13.755,1,0.0565,0.913,3.25e-06,0.111,0.293,119.791,213640,4
17302,17302,2012,0,0.72,0.839,9,-4.138,1,0.0326,0.0772,0.0,0.672,0.968,122.007,205187,4
51044,51044,2012,0,0.542,0.342,1,-8.939,1,0.0481,0.851,0.948,0.17,0.17,120.4,165373,4
27176,27176,2012,0,0.45,0.254,11,-13.203,1,0.0299,0.756,0.0177,0.104,0.195,77.396,214703,4
7451,7451,2012,0,0.655,0.502,8,-7.962,1,0.0349,0.579,0.0,0.117,0.368,123.931,247705,4
51044,51044,2012,0,0.461,0.135,7,-14.374,1,0.0645,0.947,0.881,0.11,0.197,137.922,159280,4
41156,41156,2012,0,0.581,0.333,0,-14.209,1,0.032,0.944,0.472,0.332,0.488,94.197,206800,3
22382,22382,2012,0,0.365,0.522,9,-7.854,1,0.0702,0.174,0.0,0.182,0.492,166.242,252213,4
22382,22382,2012,0,0.567,0.609,2,-7.941,1,0.0767,0.173,2.13e-06,0.15,0.522,92.506,257147,4
7451,7451,2012,0,0.361,0.273,2,-9.805,1,0.0314,0.798,0.0,0.0962,0.306,199.366,215161,4
46111,46111,2012,0,0.492,0.639,10,-6.067,1,0.0382,0.591,5.53e-06,0.0794,0.304,151.915,208267,4
27526,27526,2012,0,0.498,0.217,6,-12.042,1,0.0305,0.536,0.00013,0.126,0.605,111.735,169547,4
650,650,2012,0,0.533,0.523,2,-5.645,1,0.0284,0.324,8.41e-05,0.116,0.492,145.113,143613,4
7451,7451,2012,0,0.431,0.383,0,-8.092,1,0.0283,0.709,0.0,0.109,0.232,82.471,207629,4
7451,7451,2012,0,0.564,0.731,9,-7.538,1,0.0295,0.517,3.48e-06,0.105,0.257,95.036,244174,4
7451,7451,2012,0,0.483,0.285,5,-8.994,1,0.0271,0.791,0.0,0.13,0.116,105.42,243187,4
7451,7451,2012,0,0.604,0.324,7,-9.706,1,0.0306,0.598,0.0,0.136,0.407,92.636,255242,4
25790,25790,2012,0,0.485,0.208,6,-10.049,1,0.0295,0.809,0.000147,0.138,0.136,92.942,119493,4
7451,7451,2012,0,0.669,0.31,2,-7.844,1,0.0273,0.619,0.0,0.108,0.199,112.075,204888,4
7451,7451,2012,0,0.65,0.655,7,-5.358,1,0.0309,0.213,0.0,0.134,0.546,109.931,218124,4
25656,25656,2012,0,0.467,0.234,4,-10.538,1,0.0362,0.821,2.15e-06,0.105,0.126,142.718,315983,3
27136,27136,2012,0,0.528,0.443,5,-6.884,1,0.0267,0.738,0.0,0.182,0.302,82.924,218195,4
15504,15504,2012,0,0.535,0.587,4,-8.174,1,0.0308,0.396,0.00119,0.121,0.6,78.162,279221,4
35055,35055,2012,0,0.46,0.405,9,-9.627,1,0.0257,0.387,0.0346,0.119,0.161,155.528,273840,4
7451,7451,2012,0,0.65,0.561,11,-8.6,1,0.0282,0.579,3.22e-06,0.0909,0.331,127.926,217376,4
